Japanese Titles,Genres,Number of Episodes,Image
Boku no Hero Academia 6th Season,Action-,25,nan
Kage no Jitsuryokusha ni Naritakute!,Action-Comedy-Fantasy-,20,nan
Shuumatsu no Walküre II,Action-Drama-Fantasy-,10,nan
Gokushufudou Season 2,Comedy-,5,nan
Holo no Graffiti,Comedy-,?,nan
Itou Junji: Maniac,Horror-Supernatural-,12,nan
Aggressive Retsuko (ONA) 5th Season,Comedy-,10,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,https://cdn.myanimelist.net/images/anime/1170/124312.jpg
Tomo-chan wa Onnanoko!,Comedy-Romance-,13,https://cdn.myanimelist.net/images/anime/1444/131828.jpg
Tokyo Revengers: Seiya Kessen-hen,Action-Drama-Supernatural-,13,https://cdn.myanimelist.net/images/anime/1773/132313.jpg
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1369/139553.jpg
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Romance-,12,https://cdn.myanimelist.net/images/anime/1240/133638.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Boruto: Naruto Next Generations,Action-Adventure-Fantasy-,293,nan
Blue Lock,Sports-,24,nan
Boku no Hero Academia 6th Season,Action-,25,nan
Kage no Jitsuryokusha ni Naritakute!,Action-Comedy-Fantasy-,20,nan
Shuumatsu no Walküre II,Action-Drama-Fantasy-,10,nan
Gokushufudou Season 2,Comedy-,5,nan
Holo no Graffiti,Comedy-,?,nan
Itou Junji: Maniac,Horror-Supernatural-,12,nan
Aggressive Retsuko (ONA) 5th Season,Comedy-,10,nan
3Piece The Animation,Hentai-,1,nan
Imouto wa Gal Kawaii,Hentai-,?,nan
Bonyuu-chan wa Dashitai.,Hentai-,4,nan
Class de Otoko wa Boku Ichinin!?,Hentai-,?,nan
Otogibanashi no Onigokko,Fantasy-Hentai-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,https://cdn.myanimelist.net/images/anime/1170/124312.jpg
Tomo-chan wa Onnanoko!,Comedy-Romance-,13,https://cdn.myanimelist.net/images/anime/1444/131828.jpg
Tokyo Revengers: Seiya Kessen-hen,Action-Drama-Supernatural-,13,https://cdn.myanimelist.net/images/anime/1773/132313.jpg
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1369/139553.jpg
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Romance-,12,https://cdn.myanimelist.net/images/anime/1240/133638.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Boruto: Naruto Next Generations,Action-Adventure-Fantasy-,293,nan
Blue Lock,Sports-,24,nan
Boku no Hero Academia 6th Season,Action-,25,nan
Kage no Jitsuryokusha ni Naritakute!,Action-Comedy-Fantasy-,20,nan
Shuumatsu no Walküre II,Action-Drama-Fantasy-,10,nan
Gokushufudou Season 2,Comedy-,5,nan
Holo no Graffiti,Comedy-,?,nan
Itou Junji: Maniac,Horror-Supernatural-,12,nan
Aggressive Retsuko (ONA) 5th Season,Comedy-,10,nan
3Piece The Animation,Hentai-,1,nan
Imouto wa Gal Kawaii,Hentai-,?,nan
Bonyuu-chan wa Dashitai.,Hentai-,4,nan
Class de Otoko wa Boku Ichinin!?,Hentai-,?,nan
Otogibanashi no Onigokko,Fantasy-Hentai-,?,nan
Sasaki to Miyano Movie: Sotsugyou-hen,Boys Love-,1,nan
Gridman Universe,Action-Sci-Fi-,1,nan
Hirano to Kagiura,Boys Love-,1,nan
Blue Giant,nan,1,nan
Kin no Kuni Mizu no Kuni,Fantasy-Romance-,1,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,https://cdn.myanimelist.net/images/anime/1170/124312.jpg
Tomo-chan wa Onnanoko!,Comedy-Romance-,13,https://cdn.myanimelist.net/images/anime/1444/131828.jpg
Tokyo Revengers: Seiya Kessen-hen,Action-Drama-Supernatural-,13,https://cdn.myanimelist.net/images/anime/1773/132313.jpg
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1369/139553.jpg
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Romance-,12,https://cdn.myanimelist.net/images/anime/1240/133638.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Boruto: Naruto Next Generations,Action-Adventure-Fantasy-,293,nan
Blue Lock,Sports-,24,nan
Boku no Hero Academia 6th Season,Action-,25,nan
Kage no Jitsuryokusha ni Naritakute!,Action-Comedy-Fantasy-,20,nan
Shuumatsu no Walküre II,Action-Drama-Fantasy-,10,nan
Gokushufudou Season 2,Comedy-,5,nan
Holo no Graffiti,Comedy-,?,nan
Itou Junji: Maniac,Horror-Supernatural-,12,nan
Aggressive Retsuko (ONA) 5th Season,Comedy-,10,nan
3Piece The Animation,Hentai-,1,nan
Imouto wa Gal Kawaii,Hentai-,?,nan
Bonyuu-chan wa Dashitai.,Hentai-,4,nan
Class de Otoko wa Boku Ichinin!?,Hentai-,?,nan
Otogibanashi no Onigokko,Fantasy-Hentai-,?,nan
Sasaki to Miyano Movie: Sotsugyou-hen,Boys Love-,1,nan
Gridman Universe,Action-Sci-Fi-,1,nan
Hirano to Kagiura,Boys Love-,1,nan
Blue Giant,nan,1,nan
Kin no Kuni Mizu no Kuni,Fantasy-Romance-,1,nan
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Action-Drama-Suspense-,2,nan
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,Comedy-Ecchi-,2,nan
Evangelion: 3.0 (-46h),nan,1,nan
Buddy Daddies Intermission: Cherry-Pick,Action-Comedy-,1,nan
Ayakashi Triangle Recap,Action-Comedy-Romance-Supernatural-Ecchi-,1,nan
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
NieR:Automata Ver1.1a,Action-Fantasy-Sci-Fi-,12,nan
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
NieR:Automata Ver1.1a,Action-Fantasy-Sci-Fi-,12,nan
Holo no Graffiti,Comedy-,?,nan
Biao Ren: Blades of the Guardians,Action-,15,nan
Aishang Ta de Liyou,Drama-Romance-,22,nan
Oooku,Drama-,10,nan
Quanzhi Fashi VI,Action-Fantasy-,12,nan
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
NieR:Automata Ver1.1a,Action-Fantasy-Sci-Fi-,12,nan
Holo no Graffiti,Comedy-,?,nan
Biao Ren: Blades of the Guardians,Action-,15,nan
Aishang Ta de Liyou,Drama-Romance-,22,nan
Oooku,Drama-,10,nan
Quanzhi Fashi VI,Action-Fantasy-,12,nan
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",Comedy-Romance-,1,nan
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,Slice of Life-,1,nan
Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,Hentai-,?,nan
Fushigi no Kuni no Succubus,Fantasy-Hentai-,?,nan
Stand My Heroes: Warmth of Memories,Mystery-Romance-,1,nan
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
NieR:Automata Ver1.1a,Action-Fantasy-Sci-Fi-,12,nan
Holo no Graffiti,Comedy-,?,nan
Biao Ren: Blades of the Guardians,Action-,15,nan
Aishang Ta de Liyou,Drama-Romance-,22,nan
Oooku,Drama-,10,nan
Quanzhi Fashi VI,Action-Fantasy-,12,nan
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",Comedy-Romance-,1,nan
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,Slice of Life-,1,nan
Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,Hentai-,?,nan
Fushigi no Kuni no Succubus,Fantasy-Hentai-,?,nan
Stand My Heroes: Warmth of Memories,Mystery-Romance-,1,nan
Black Clover: Mahou Tei no Ken,Action-Comedy-Fantasy-,1,nan
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,Drama-Romance-Supernatural-,1,nan
Psycho-Pass Movie: Providence,Action-Mystery-Sci-Fi-Suspense-,1,nan
Princess Principal: Crown Handler Movie 3,Action-Mystery-,1,nan
Meitantei Conan Movie 26: Kurogane no Submarine,Action-Mystery-,1,nan
Kimetsu no Yaiba: Katanakaji no Sato-hen,Action-Fantasy-,11,https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""",Drama-Supernatural-,11,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,Action-Adventure-Fantasy-,13,https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Adventure-Mystery-Sci-Fi-,13,https://cdn.myanimelist.net/images/anime/1121/133132.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Vinland Saga Season 2,Action-Adventure-Drama-,24,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
NieR:Automata Ver1.1a,Action-Fantasy-Sci-Fi-,12,nan
Holo no Graffiti,Comedy-,?,nan
Biao Ren: Blades of the Guardians,Action-,15,nan
Aishang Ta de Liyou,Drama-Romance-,22,nan
Oooku,Drama-,10,nan
Quanzhi Fashi VI,Action-Fantasy-,12,nan
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",Comedy-Romance-,1,nan
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,Slice of Life-,1,nan
Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,Hentai-,?,nan
Fushigi no Kuni no Succubus,Fantasy-Hentai-,?,nan
Stand My Heroes: Warmth of Memories,Mystery-Romance-,1,nan
Black Clover: Mahou Tei no Ken,Action-Comedy-Fantasy-,1,nan
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,Drama-Romance-Supernatural-,1,nan
Psycho-Pass Movie: Providence,Action-Mystery-Sci-Fi-Suspense-,1,nan
Princess Principal: Crown Handler Movie 3,Action-Mystery-,1,nan
Meitantei Conan Movie 26: Kurogane no Submarine,Action-Mystery-,1,nan
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,Comedy-Ecchi-,2,nan
Mashle: Mash Burnedead to Fushigi na Tegami,Action-Comedy-Fantasy-,1,nan
One Piece: Dai Gekisen Tokushuu! Zoro vs. Ookanban!,Action-Adventure-Comedy-Fantasy-,1,nan
One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom,Action-Adventure-Comedy-Fantasy-,1,nan
Tom to Jerry (2022),Comedy-,?,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
Crayon Shin-chan,Comedy-Ecchi-,?,nan
Niehime to Kemono no Ou,Fantasy-Romance-,24,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
Crayon Shin-chan,Comedy-Ecchi-,?,nan
Niehime to Kemono no Ou,Fantasy-Romance-,24,nan
Shiguang Dailiren II,Drama-Mystery-Supernatural-Suspense-,12,nan
Hanma Baki: Son of Ogre 2nd Season,Sports-,27,nan
Shuumatsu no Walküre II Part 2,Action-Drama-Fantasy-,5,nan
Tonikaku Kawaii: Joshikou-hen,Comedy-Romance-,4,nan
Kengan Ashura Season 2,Action-,12,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
Crayon Shin-chan,Comedy-Ecchi-,?,nan
Niehime to Kemono no Ou,Fantasy-Romance-,24,nan
Shiguang Dailiren II,Drama-Mystery-Supernatural-Suspense-,12,nan
Hanma Baki: Son of Ogre 2nd Season,Sports-,27,nan
Shuumatsu no Walküre II Part 2,Action-Drama-Fantasy-,5,nan
Tonikaku Kawaii: Joshikou-hen,Comedy-Romance-,4,nan
Kengan Ashura Season 2,Action-,12,nan
Azur Lane: Queen's Orders,Sci-Fi-Slice of Life-,2,nan
Sukebe Elf Tanbouki,Fantasy-Hentai-,2,nan
Kono Koi ni Kizuite The Animation,Hentai-,?,nan
Tsundero Series,Hentai-,6,nan
Tanetsuke Ojisan to NTR Hitozuma Sex The Animation,Hentai-,1,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
Crayon Shin-chan,Comedy-Ecchi-,?,nan
Niehime to Kemono no Ou,Fantasy-Romance-,24,nan
Shiguang Dailiren II,Drama-Mystery-Supernatural-Suspense-,12,nan
Hanma Baki: Son of Ogre 2nd Season,Sports-,27,nan
Shuumatsu no Walküre II Part 2,Action-Drama-Fantasy-,5,nan
Tonikaku Kawaii: Joshikou-hen,Comedy-Romance-,4,nan
Kengan Ashura Season 2,Action-,12,nan
Azur Lane: Queen's Orders,Sci-Fi-Slice of Life-,2,nan
Sukebe Elf Tanbouki,Fantasy-Hentai-,2,nan
Kono Koi ni Kizuite The Animation,Hentai-,?,nan
Tsundero Series,Hentai-,6,nan
Tanetsuke Ojisan to NTR Hitozuma Sex The Animation,Hentai-,1,nan
Alice to Therese no Maboroshi Koujou,Drama-,1,nan
Kimitachi wa Dou Ikiru ka,Adventure-Drama-Fantasy-,1,nan
Hibike! Euphonium: Ensemble Contest-hen,Drama-,1,nan
Biohazard: Death Island,Action-Horror-Sci-Fi-,1,nan
Sand Land,Action-Adventure-Fantasy-Supernatural-,1,nan
Jujutsu Kaisen 2nd Season,Action-Fantasy-,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg
Mushoku Tensei II: Isekai Ittara Honki Dasu,Adventure-Drama-Fantasy-Ecchi-,12,https://cdn.myanimelist.net/images/anime/1898/138005.jpg
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Action-Comedy-Horror-Supernatural-Suspense-,12,https://cdn.myanimelist.net/images/anime/1384/136408.jpg
Horimiya: Piece,Romance-,13,https://cdn.myanimelist.net/images/anime/1007/136277.jpg
Watashi no Shiawase na Kekkon,Drama-Fantasy-Romance-,12,https://cdn.myanimelist.net/images/anime/1147/122444.jpg
One Piece,Action-Adventure-Fantasy-,?,nan
Meitantei Conan,Adventure-Comedy-Mystery-,?,nan
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",Action-Fantasy-,12,nan
Crayon Shin-chan,Comedy-Ecchi-,?,nan
Niehime to Kemono no Ou,Fantasy-Romance-,24,nan
Shiguang Dailiren II,Drama-Mystery-Supernatural-Suspense-,12,nan
Hanma Baki: Son of Ogre 2nd Season,Sports-,27,nan
Shuumatsu no Walküre II Part 2,Action-Drama-Fantasy-,5,nan
Tonikaku Kawaii: Joshikou-hen,Comedy-Romance-,4,nan
Kengan Ashura Season 2,Action-,12,nan
Azur Lane: Queen's Orders,Sci-Fi-Slice of Life-,2,nan
Sukebe Elf Tanbouki,Fantasy-Hentai-,2,nan
Kono Koi ni Kizuite The Animation,Hentai-,?,nan
Tsundero Series,Hentai-,6,nan
Tanetsuke Ojisan to NTR Hitozuma Sex The Animation,Hentai-,1,nan
Alice to Therese no Maboroshi Koujou,Drama-,1,nan
Kimitachi wa Dou Ikiru ka,Adventure-Drama-Fantasy-,1,nan
Hibike! Euphonium: Ensemble Contest-hen,Drama-,1,nan
Biohazard: Death Island,Action-Horror-Sci-Fi-,1,nan
Sand Land,Action-Adventure-Fantasy-Supernatural-,1,nan
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,Adventure-Drama-Fantasy-Ecchi-,1,nan
Fate/strange Fake: Whispers of Dawn,Action-Fantasy-Supernatural-,1,nan
5-toubun no Hanayome∽,Comedy-Romance-,2,nan
Jujutsu Kaisen 2nd Season Recaps,Action-Fantasy-,2,nan
Hataraku Maou-sama!! Recap,Comedy-Fantasy-,1,nan
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
Tate no Yuusha no Nariagari Season 3,Action-Adventure-Drama-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1317/139802.jpg
Goblin Slayer II,Action-Adventure-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1100/138338.jpg
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Action-Comedy-Fantasy-,12,https://cdn.myanimelist.net/images/anime/1622/139331.jpg
Sousou no Frieren,Adventure-Drama-Fantasy-,28,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
Spy x Family Season 2,Action-Comedy-,12,https://cdn.myanimelist.net/images/anime/1506/138982.jpg
